A,B,C,D,E
51276,54162,51251,53093,53358
54220,51146,53801,53282,53248
51305,53597,53231,53593,53805
53784,53271,53219,53400,53255
53200,54471,54191,54229,51206
51294,53088,54249,51138,53089
53296,51278,53126,53299,53761
51139,51304,51272,53350,51300
53423,53551,53497,53104,51265
53415,53530,53354,53647,53479
53059,53362,51242,53349,53756
51318,53654,53120,53512,54131
53356,53312,53499,54183,53230
53491,51127,51212,53498,54165
54127,53308,53569,53235,53457
53253,53607,53274,53240,53667
53425,53346,54472,53262,53295
51270,51184,51202,53624,51181
51171,53617,53403,53428,51175
53803,53298,51252,51319,51133
53427,53564,54176,53390,53095
53664,53488,51187,51301,51230
53062,53606,53142,53075,53260
53674,53673,51135,54163,53485
54235,54259,51143,53788,53324
51170,53468,53533,54132,53069
53279,54237,53794,54226,53368
53080,53141,53316,53254,53545
51173,53405,53806,53373,53812
53619,53374,53161,54179,51137
53478,53463,54242,54192,53135
53504,53395,53092,53134,54188
53795,53610,51215,51261,53066
53759,53224,53138,53420,53237
53442,53131,53467,53285,53203
53612,53472,53221,53576,53661
53752,54260,53433,53303,53548
51196,53411,51156,51268,53074
51199,51308,53435,51233,51203
54230,53484,54564,53562,51190
53256,53526,54187,54128,51267
53447,53536,53641,53268,53608
54182,53419,53513,53099,53449
53808,51144,53183,51214,53347
53280,51174,53353,53765,53191
53115,51280,53119,53458,53214
51259,51302,54221,54222,54144
54130,53613,53124,54225,53671
54219,54204,51228,51299,53335
51303,53571,53210,51141,51262
51266,53276,53367,53094,53194
53807,53580,53081,51225,53625
51160,51290,53443,54241,51231
53542,53289,53140,53652,53487
51152,53460,53192,51191,53333
53209,53642,53057,53375,51168
53381,53067,53430,53508,53639
53441,53108,51224,51132,53272
53170,51154,53090,51306,51124
53244,53277,53314,54232,54177
53144,51316,53242,53247,54250
53582,53669,51164,53439,51165
51123,53575,53800,53186,53132
51185,54126,53345,53558,53618
