A,B,C,D,E
38785,38636,38387,38975,38448
38386,39001,38276,38315,38420
38939,39037,38584,38406,38484
38342,38993,38988,38772,38486
39668,38711,38426,38690,38855
38698,38897,38950,37918,38598
38615,39648,38895,38902,38663
38682,38958,38909,37929,39647
37943,38717,38814,38795,38543
38688,38489,38830,38968,38803
38882,38790,38768,38603,38765
38421,38962,38610,37924,38981
38227,39627,39069,39019,38608
39487,38230,38396,39638,39040
39644,38940,38561,38533,38339
38281,38223,38763,38802,38652
38458,38495,39071,38274,38234
38540,37913,38473,38609,38372
38221,38651,38364,38237,39012
39063,37921,39072,39045,38877
38356,38715,38712,38347,39066
38649,39029,38723,37945,38255
38722,38739,39677,38831,38338
38964,38595,38582,38385,39651
38504,37947,38732,38824,39018
38617,38867,38217,38623,38863
39008,38499,38410,38809,38769
38594,38397,39636,38340,38534
38683,38833,38575,38544,38818
38257,39000,38562,38634,38308
38965,38762,37951,38429,38289
38463,37930,38872,38807,37938
38972,38860,37926,38675,38653
37928,37917,39011,39641,38536
38515,37927,38264,38791,38747
39036,38501,38771,38846,39052
38616,38890,38845,38936,38519
38299,38980,38247,38702,38871
38319,39050,38549,39667,38844
38511,38920,39016,38757,38982
38596,38839,38736,38804,39026
38402,38689,37959,38835,38521
38901,39084,38622,38677,38604
37958,37963,38926,38812,37932
38283,38232,39623,38641,38631
38726,39621,38973,39626,39065
38829,38714,38373,39642,38733
38506,38401,38672,38233,38395
38336,38673,38857,37931,39673
38483,38783,38588,38538,38377
38422,39497,38469,38953,38553
38472,39073,39064,38716,38278
38868,38287,38905,39618,38743
38488,38292,38676,38976,38245
38334,39633,38466,39060,37957
38346,38479,38696,38983,38933
38657,38820,39083,38348,38326
38266,38819,39672,39014,38938
38911,38251,38503,39056,39080
38555,37962,38692,38374,38587
38437,39030,37937,38412,38353
38424,39042,38966,39078,38219
38721,38708,39622,38826,38240
39674,38313,38404,38643,38526
38999,38220,38389,39738,39736
38282,38368,38241,38565,38330
38891,39054,38837,38823,38400
38778,38321,38865,38467,38375
38297,38361,38505,39034,38775
38436,38573,38258,39643,38700
38355,39665,38687,38398,38971
38329,40027,38365,38875,38840
38647,38777,38883,37949,38277
38522,38435,38362,38767,39035
38323,38990,38376,38407,38797
38776,38678,37935,38560,38464
38949,38520,38613,39075,38709
39670,39646,38570,38774,38249
38494,38937,38963,38658,38734
37942,38216,38873,39057,38842
38850,39055,38853,38960,38416
38788,38946,38932,38475,38267
38780,38748,38528,38741,38393
38611,38666,38923,38367,38284
